"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1",0.227949675189601,0.998521883365757,0.08,0.168,0.106,0.057
"result.2",0.268756524057057,0.940759207706544,0.067,0.088,0.108,0.056
"result.3",0.594913954709085,0.99999981147368,-0.026,0.246,0.108,0.056
"result.4",0.09815612179815,0.929077262706036,0.138,0.083,0.107,0.056
"result.5",0.265401223100641,0.986550899363378,0.068,0.124,0.107,0.056
"result.6",0.387881047291692,0.999997746389708,0.031,0.238,0.107,0.056
"result.7",0.904604754433382,0.993915093411798,-0.139,0.141,0.107,0.056
"result.8",0.524633588368827,0.999999810886707,-0.006,0.27,0.106,0.057
"result.9",0.342155756675249,0.999173086620177,0.044,0.177,0.107,0.056
"result.10",0.339604150978092,0.999950148773854,0.045,0.214,0.108,0.056
"result.11",0.756136244085845,0.980877868111157,-0.075,0.116,0.108,0.056
"result.12",0.903433477699376,0.999409234668691,-0.138,0.182,0.106,0.056
"result.13",0.0375447605803464,0.999323237359759,0.192,0.179,0.108,0.056
"result.14",0.199976796146128,0.863662022442109,0.09,0.061,0.107,0.056
"result.15",0.90186892225905,0.999956655896548,-0.139,0.217,0.108,0.056
"result.16",0.957490944099466,0.999781366209423,-0.183,0.196,0.106,0.056
"result.17",0.329920673346265,0.995424175288914,0.047,0.147,0.107,0.057
"result.18",0.129804890598076,0.999793621742707,0.122,0.198,0.108,0.056
"result.19",0.991216809554151,0.993692677190039,-0.252,0.139,0.106,0.056
"result.20",0.0330152529474511,0.960347403467778,0.199,0.099,0.108,0.056
"result.21",0.932964558499306,0.999999811206695,-0.159,0.245,0.106,0.057
"result.22",0.433587446005891,0.993108086248554,0.018,0.138,0.108,0.056
"result.23",0.413674398865055,0.983334180632648,0.024,0.12,0.106,0.057
"result.24",0.793301453681348,0.999440198567928,-0.088,0.182,0.108,0.056
"result.25",0.205754238458069,0.99999628271278,0.088,0.236,0.107,0.056
"result.26",0.35452786184816,0.999932638491922,0.041,0.212,0.108,0.056
"result.27",0.290330678119995,0.997821875574446,0.06,0.159,0.108,0.056
"result.28",0.16679416537929,0.986862085850842,0.107,0.124,0.11,0.056
"result.29",0.544495329387246,0.999927158771629,-0.012,0.211,0.107,0.056
"result.30",0.651883224344459,0.999106048681909,-0.042,0.175,0.107,0.056
"result.31",0.513577155679986,0.999851268729246,-0.003,0.201,0.108,0.056
"result.32",0.30605728397765,0.995706946050152,0.054,0.146,0.106,0.056
"result.33",0.634895759300465,0.994288681824438,-0.037,0.142,0.106,0.056
"result.34",0.706202013703243,0.999981872814447,-0.057,0.226,0.106,0.056
"result.35",0.762628237350043,0.999577217689393,-0.076,0.189,0.107,0.057
"result.36",0.00522279691854967,0.999689539635952,0.279,0.192,0.109,0.056
"result.37",0.901970686483456,0.999806071113172,-0.139,0.199,0.108,0.056
"result.38",0.0806260611908349,0.999755676396903,0.148,0.197,0.106,0.057
"result.39",0.396948502776026,0.997698683207314,0.028,0.158,0.107,0.056
"result.40",0.909763513774444,0.998310800431361,-0.143,0.164,0.107,0.056
