"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1",0.0124035942289958,0.999999810745224,0.237,0.28,0.106,0.058
"result.2",0.00443929139510487,0.9998520512841,0.279,0.204,0.107,0.057
"result.3",0.00454211170414351,0.999999811267151,0.277,0.36,0.106,0.057
"result.4",0.000706988998847788,0.999808248029341,0.338,0.202,0.106,0.057
"result.5",0.00354687079057733,0.999998958056226,0.286,0.241,0.106,0.057
"result.6",0.0246305986161293,0.99999981169879,0.209,0.331,0.106,0.057
"result.7",0.16072009068361,0.999999810817744,0.105,0.257,0.105,0.057
"result.8",0.0148555120191287,0.999999810774826,0.228,0.38,0.105,0.057
"result.9",0.0150190130537494,0.999999810819982,0.23,0.281,0.106,0.057
"result.10",0.000951011706526751,0.999999811031559,0.33,0.313,0.107,0.057
"result.11",0.121289823073093,0.999978540111074,0.125,0.227,0.107,0.057
"result.12",0.312664150221456,0.99999981133998,0.051,0.289,0.105,0.057
"result.13",0.000208061651351834,0.999999810665853,0.375,0.281,0.107,0.057
"result.14",0.00341102313205364,0.998498232972168,0.286,0.168,0.106,0.057
"result.15",0.214055436102012,0.999999810917436,0.084,0.341,0.106,0.057
"result.16",0.570814817911121,0.999999811148949,-0.019,0.309,0.105,0.057
"result.17",0.00536257923439335,0.999999810978361,0.27,0.283,0.106,0.058
"result.18",0.000422134977926879,0.999999811151142,0.355,0.307,0.107,0.057
"result.19",0.57934074571478,0.999999811295518,-0.021,0.264,0.105,0.057
"result.20",0.000256795705204341,0.999868763690701,0.37,0.207,0.107,0.057
"result.21",0.21069036849666,0.999999811108321,0.085,0.352,0.105,0.057
"result.22",0.0179662783300726,0.999996871553312,0.224,0.238,0.107,0.057
"result.23",0.0145026644726585,0.999992353861435,0.23,0.236,0.105,0.057
"result.24",0.0778759245123738,0.999999810749744,0.151,0.291,0.106,0.057
"result.25",0.00344748980111552,0.99999981039745,0.286,0.346,0.106,0.057
"result.26",0.00771632338082963,0.999999810805018,0.258,0.307,0.107,0.057
"result.27",0.0165643817925982,0.999999810952616,0.228,0.286,0.107,0.057
"result.28",0.000850804844783231,0.99997994140091,0.34,0.226,0.109,0.056
"result.29",0.0130153114931582,0.999999810897648,0.235,0.317,0.106,0.057
"result.30",0.0270810490328837,0.999999811530691,0.204,0.288,0.106,0.057
"result.31",0.0230995478531307,0.999999810383177,0.212,0.315,0.106,0.057
"result.32",0.00715072038592723,0.999999810786561,0.257,0.266,0.105,0.057
"result.33",0.0571742054846889,0.999999811153795,0.167,0.261,0.105,0.057
"result.34",0.0492182670527638,0.999999810421446,0.174,0.325,0.105,0.057
"result.35",0.127981471889208,0.999999811329286,0.12,0.293,0.105,0.057
"result.36",4.51915108487544e-06,0.999999811284492,0.45,0.296,0.108,0.057
"result.37",0.186038377022362,0.999999810004664,0.095,0.309,0.106,0.057
"result.38",0.000898063064332997,0.999999810723815,0.328,0.297,0.105,0.057
"result.39",0.0506375979700737,0.999999810740821,0.174,0.263,0.106,0.057
"result.40",0.23072665186921,0.999999810867382,0.078,0.276,0.106,0.057
"result.41",0.162535177709421,0.999999811515218,0.105,0.32,0.107,0.057
"result.42",0.00472438576819028,0.999993360813758,0.274,0.233,0.106,0.056
"result.43",1.85833718184065e-07,0.999999811375787,0.459,0.284,0.105,0.058
"result.44",0.0124432590856014,0.999936960454002,0.236,0.217,0.105,0.057
"result.45",0.0265078725759467,0.99999981125403,0.205,0.313,0.106,0.057
"result.46",0.00553451071811161,0.999999811524292,0.27,0.28,0.106,0.056
"result.47",0.120520515817612,0.999999811085132,0.124,0.274,0.106,0.057
"result.48",0.424274225840237,0.999999810726412,0.021,0.293,0.107,0.057
"result.49",0.0124702406196429,0.999999811216961,0.235,0.312,0.105,0.057
"result.50",5.90254649548749e-05,0.999975807506542,0.402,0.226,0.106,0.057
"result.51",0.0711211533057537,0.999999811031771,0.154,0.329,0.105,0.057
"result.52",0.000101591906728106,0.999999811907874,0.389,0.293,0.105,0.057
"result.53",1.86291696411721e-07,0.999926242316651,0.471,0.214,0.108,0.057
"result.54",0.0332510211112302,0.99999981105468,0.196,0.27,0.107,0.057
"result.55",0.000604080644693677,0.999999811065007,0.347,0.301,0.107,0.057
"result.56",3.98423835847555e-06,0.999999810745839,0.445,0.263,0.107,0.057
"result.57",0.00310687975114247,0.999999811104714,0.293,0.278,0.107,0.056
"result.58",0.0583174025942638,0.999999811111016,0.166,0.275,0.106,0.057
"result.59",0.0157692733271691,0.999986468263311,0.227,0.233,0.105,0.057
"result.60",0.00961672849769317,0.999999810516574,0.247,0.354,0.106,0.057
"result.61",0.0024830879293003,0.999999810524561,0.295,0.329,0.105,0.058
"result.62",0.169434587876193,0.999986487360867,0.102,0.23,0.107,0.057
"result.63",0.0024609787364918,0.999999809833035,0.299,0.339,0.106,0.058
"result.64",0.1371304382279,0.999999810713125,0.116,0.336,0.105,0.057
"result.65",0.034705452359179,0.999999811433797,0.192,0.287,0.105,0.057
"result.66",0.0229611215984658,0.999999811294386,0.211,0.342,0.106,0.057
"result.67",0.0286352430280728,0.999999810385879,0.204,0.305,0.107,0.057
"result.68",0.108709130480873,0.999999811333414,0.131,0.284,0.106,0.057
"result.69",0.127631008405925,0.999994039446548,0.121,0.236,0.106,0.057
"result.70",0.0856177466781962,0.99999981154181,0.145,0.305,0.105,0.057
"result.71",0.00542074023581785,0.999961553592914,0.271,0.222,0.107,0.057
"result.72",0.120029350848617,0.999987560133492,0.124,0.233,0.105,0.057
"result.73",0.0976994552457932,0.999999810651325,0.138,0.369,0.106,0.057
"result.74",0.017235346262299,0.999999811631007,0.225,0.351,0.106,0.057
"result.75",0.00603457619682962,0.999999810620392,0.267,0.264,0.107,0.057
"result.76",0.0192342072679805,0.999995799594454,0.218,0.238,0.105,0.057
"result.77",0.611402837446666,0.999999810850361,-0.03,0.382,0.105,0.057
"result.78",0.000449737258843531,0.999821823860541,0.353,0.202,0.107,0.057
"result.79",0.0037457251900031,0.999999810693727,0.286,0.264,0.107,0.057
"result.80",0.0644130675266091,0.999999810163171,0.161,0.31,0.106,0.057
"result.81",0.0724545891522166,0.99999981125526,0.155,0.251,0.106,0.057
"result.82",0.0982614460948342,0.999999811108081,0.137,0.303,0.106,0.057
"result.83",0.0351121273054117,0.999999810514415,0.193,0.27,0.106,0.057
"result.84",0.00721568358402864,0.999999810848579,0.26,0.248,0.106,0.056
"result.85",0.290447524316902,0.999999811076995,0.059,0.373,0.105,0.057
"result.86",0.00153194692018538,0.99999981135785,0.316,0.253,0.107,0.057
"result.87",0.00144319698153639,0.99999981111195,0.318,0.248,0.107,0.057
"result.88",0.013745297592357,0.999999810699659,0.234,0.308,0.106,0.057
