"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1",0.948592159249878,0.46086915536725,-0.176,-0.005,0.108,0.057
"result.2",0.890567917098674,0.0700670944518788,-0.135,-0.083,0.11,0.057
"result.3",0.989084034010023,0.910538368807206,-0.253,0.075,0.111,0.056
"result.4",0.821760095296865,0.0742899565492542,-0.1,-0.082,0.109,0.057
"result.5",0.932557231094232,0.254017416546817,-0.163,-0.037,0.109,0.056
"result.6",0.967626141515983,0.821164407186401,-0.202,0.052,0.109,0.057
"result.7",0.999800514176132,0.324825797325393,-0.383,-0.026,0.109,0.056
"result.8",0.987890026792853,0.939768259129744,-0.243,0.088,0.108,0.057
"result.9",0.910263143907704,0.472326951189981,-0.145,-0.004,0.108,0.057
"result.10",0.955905839512259,0.716067463437988,-0.188,0.032,0.111,0.056
"result.11",0.997367282866439,0.186401494727884,-0.307,-0.05,0.11,0.056
"result.12",0.998969880580309,0.544929942246297,-0.33,0.006,0.108,0.056
"result.13",0.719363418289373,0.558812191636038,-0.064,0.008,0.11,0.056
"result.14",0.830363859624343,0.0285684547213588,-0.103,-0.107,0.108,0.056
"result.15",0.998673697564672,0.687706640214715,-0.328,0.028,0.109,0.056
"result.16",1,0.610952398318543,-0.516,0.016,0.11,0.056
"result.17",0.934231004085592,0.361750896444156,-0.164,-0.02,0.109,0.057
"result.18",0.773629535792839,0.561665922530644,-0.082,0.009,0.11,0.057
"result.19",1,0.252839726603035,-0.506,-0.037,0.109,0.056
"result.20",0.622112292776241,0.135935816006192,-0.034,-0.062,0.11,0.057
"result.21",0.999908730253315,0.920351080943152,-0.402,0.08,0.109,0.057
"result.22",0.965881081405363,0.243459448416409,-0.201,-0.039,0.11,0.056
"result.23",0.974792413360143,0.247538094189895,-0.211,-0.039,0.108,0.057
"result.24",0.992543257533893,0.611918461634398,-0.266,0.016,0.11,0.056
"result.25",0.942941633674994,0.815377348931254,-0.172,0.051,0.109,0.057
"result.26",0.902754176841463,0.80919083896003,-0.142,0.049,0.11,0.056
"result.27",0.952007951630444,0.392785882093558,-0.183,-0.015,0.11,0.056
"result.28",0.856995845751294,0.2466348285494,-0.12,-0.038,0.112,0.056
"result.29",0.981372815737455,0.733662532469089,-0.226,0.035,0.109,0.056
"result.30",0.994779769782181,0.575239982807554,-0.279,0.011,0.109,0.056
"result.31",0.950141727344284,0.607403648292605,-0.179,0.015,0.109,0.056
"result.32",0.967641782316732,0.150321922650358,-0.199,-0.058,0.108,0.056
"result.33",0.992606317016166,0.300287453909458,-0.263,-0.03,0.108,0.057
"result.34",0.987108551524974,0.79843953990663,-0.239,0.047,0.107,0.056
"result.35",0.988675545381959,0.689584219561235,-0.245,0.028,0.108,0.057
