"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1",0.948592159249878,0.0295248856002132,-0.176,-0.108,0.108,0.057
"result.2",0.890567917098674,0.00059227711406562,-0.135,-0.185,0.11,0.057
"result.3",0.989084034010023,0.264276536170818,-0.253,-0.035,0.111,0.056
"result.4",0.821760095296865,0.000747426075054625,-0.1,-0.181,0.109,0.057
"result.5",0.932557231094232,0.00792522685849528,-0.163,-0.136,0.109,0.056
"result.6",0.967626790036092,0.209871651702133,-0.202,-0.046,0.109,0.057
"result.7",0.999800514176132,0.0133541498965734,-0.383,-0.126,0.109,0.057
"result.8",0.987890026792853,0.407895043197669,-0.243,-0.013,0.108,0.057
"result.9",0.910263143907704,0.0436240445880604,-0.145,-0.098,0.108,0.057
"result.10",0.955905839512259,0.0912045571919917,-0.188,-0.075,0.111,0.057
"result.11",0.997367282866439,0.00276755703620579,-0.307,-0.158,0.11,0.057
"result.12",0.998969880580309,0.0366686039703085,-0.33,-0.102,0.108,0.057
"result.13",0.719363418289373,0.0443084848061531,-0.064,-0.096,0.11,0.057
"result.14",0.830363859624343,0.000112633448472454,-0.103,-0.208,0.108,0.057
"result.15",0.998673697564672,0.118344357673139,-0.328,-0.067,0.109,0.057
"result.16",1,0.0568338481298952,-0.516,-0.09,0.11,0.057
"result.17",0.93423016094105,0.0120530600034444,-0.164,-0.129,0.109,0.057
"result.18",0.773629535792839,0.0467166916395612,-0.082,-0.095,0.11,0.057
"result.19",1,0.00890501384583353,-0.506,-0.135,0.109,0.057
"result.20",0.622112292776241,0.00134130923168008,-0.034,-0.172,0.11,0.057
"result.21",0.999908730253315,0.37618023717682,-0.402,-0.018,0.109,0.057
"result.22",0.965881081405363,0.00485668501500647,-0.201,-0.147,0.11,0.057
"result.23",0.974792413360143,0.00340883905352962,-0.211,-0.155,0.108,0.058
"result.24",0.992543257533893,0.0854420960161779,-0.266,-0.077,0.11,0.057
"result.25",0.942941633674994,0.162887341779391,-0.172,-0.056,0.109,0.057
"result.26",0.902754176841463,0.182930842269015,-0.142,-0.051,0.11,0.057
"result.27",0.952007951630444,0.0191543697515547,-0.183,-0.117,0.11,0.057
"result.28",0.856995845751294,0.00604110800505775,-0.12,-0.142,0.112,0.057
"result.29",0.981372815737455,0.0904765397508909,-0.226,-0.076,0.109,0.057
"result.30",0.994779769782181,0.0427600587671139,-0.279,-0.097,0.109,0.057
"result.31",0.950141727344284,0.04438524286773,-0.179,-0.096,0.109,0.056
"result.32",0.967641782316732,0.000896356388098485,-0.199,-0.178,0.108,0.057
"result.33",0.992606317016166,0.0110634070503295,-0.263,-0.13,0.108,0.057
"result.34",0.987108551524974,0.123795354509582,-0.239,-0.066,0.107,0.057
"result.35",0.98867554538196,0.0725162016358303,-0.245,-0.083,0.108,0.057
"result.36",0.308049664662937,0.0795274855139224,0.056,-0.08,0.111,0.057
"result.37",0.998601698582368,0.0996787861192894,-0.327,-0.073,0.11,0.057
"result.38",0.727425370833005,0.0469758245774219,-0.065,-0.096,0.107,0.058
"result.39",0.957476398116624,0.0171849907688326,-0.187,-0.12,0.109,0.057
"result.40",0.999710432332997,0.026989433856877,-0.374,-0.11,0.109,0.057
"result.41",0.997478281809268,0.110567245171376,-0.309,-0.069,0.111,0.057
"result.42",0.977726300310823,0.00170060918371728,-0.219,-0.167,0.109,0.057
"result.43",0.737891626027489,0.0283511050808005,-0.069,-0.109,0.108,0.057
"result.44",0.940632903444497,0.00108647226237601,-0.168,-0.175,0.108,0.057
"result.45",0.998084885700688,0.084674167579354,-0.317,-0.079,0.11,0.057
"result.46",0.804168660296404,0.0135827848146399,-0.093,-0.124,0.109,0.056
"result.47",0.999199376749254,0.0114114531587448,-0.345,-0.13,0.11,0.057
