"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1",0.227949675189601,0.491118511719848,0.08,-0.001,0.106,0.057
"result.2",0.268757626960946,0.0980441061222911,0.067,-0.073,0.108,0.057
"result.3",0.594913954709085,0.902717290796277,-0.026,0.073,0.108,0.056
"result.4",0.09815612179815,0.0768863546810331,0.138,-0.081,0.107,0.057
"result.5",0.265401223100641,0.26534067864723,0.068,-0.035,0.107,0.056
"result.6",0.387881225710769,0.824517552390477,0.031,0.053,0.107,0.057
"result.7",0.904603329264294,0.372167120208453,-0.139,-0.018,0.107,0.057
"result.8",0.524633588368827,0.953098796782757,-0.006,0.095,0.106,0.057
"result.9",0.342155756675249,0.475634695126487,0.044,-0.003,0.107,0.057
"result.10",0.339604150978092,0.719686295901001,0.045,0.033,0.108,0.056
"result.11",0.756136244085845,0.22336692018954,-0.075,-0.043,0.108,0.056
"result.12",0.903433477699376,0.515691066321657,-0.138,0.002,0.106,0.057
"result.13",0.0375447605803464,0.55774601134267,0.192,0.008,0.108,0.056
"result.14",0.199978188949875,0.0336631540246287,0.09,-0.103,0.107,0.056
"result.15",0.90186892225905,0.752378043091215,-0.139,0.039,0.108,0.056
"result.16",0.957490944099466,0.656103104609773,-0.183,0.023,0.106,0.057
"result.17",0.329920981926781,0.405656203911731,0.047,-0.013,0.107,0.057
"result.18",0.129804890598076,0.630759883910884,0.122,0.019,0.108,0.057
"result.19",0.991216951885263,0.250959822816931,-0.252,-0.038,0.106,0.057
"result.20",0.0330152529474511,0.184282091102293,0.199,-0.051,0.108,0.057
"result.21",0.93296601030241,0.925409386719017,-0.159,0.082,0.106,0.057
"result.22",0.433587446005891,0.286576014191999,0.018,-0.032,0.108,0.056
"result.23",0.413674398865055,0.294678617458473,0.024,-0.031,0.106,0.057
"result.24",0.793301453681348,0.684781735419521,-0.088,0.027,0.108,0.056
"result.25",0.205754238458069,0.850544351476861,0.088,0.059,0.107,0.057
"result.26",0.35452786184816,0.791603019789686,0.041,0.046,0.108,0.057
"result.27",0.290330678119995,0.44077160803784,0.06,-0.008,0.108,0.056
"result.28",0.16679416537929,0.265383423436697,0.107,-0.035,0.11,0.056
"result.29",0.544495329387246,0.763886469839726,-0.012,0.041,0.107,0.056
"result.30",0.651884546333853,0.590594575823814,-0.042,0.013,0.107,0.056
"result.31",0.513577155679986,0.676697221568031,-0.003,0.026,0.108,0.056
"result.32",0.30605728397765,0.140998850128551,0.054,-0.061,0.106,0.057
"result.33",0.634895759300465,0.325502524935815,-0.037,-0.026,0.106,0.057
"result.34",0.706202013703243,0.813690499819014,-0.057,0.051,0.106,0.057
"result.35",0.762628237350043,0.699710561421744,-0.076,0.03,0.107,0.057
"result.36",0.00522279691854967,0.67722719377305,0.279,0.026,0.109,0.057
"result.37",0.901967096524554,0.697767266517067,-0.139,0.03,0.108,0.057
"result.38",0.0806273162473056,0.631616363907794,0.148,0.019,0.106,0.057
"result.39",0.396948502776026,0.386456716308539,0.028,-0.016,0.107,0.056
"result.40",0.909763513774444,0.460108398668021,-0.143,-0.006,0.107,0.057
"result.41",0.839331325663123,0.747837945530151,-0.107,0.038,0.108,0.057
"result.42",0.36163455974214,0.187670364140202,0.038,-0.05,0.107,0.056
"result.43",0.018541544595454,0.4787802780087,0.222,-0.003,0.106,0.057
"result.44",0.399920664607005,0.128931777986185,0.027,-0.064,0.106,0.057
"result.45",0.776533367503212,0.733178613474591,-0.082,0.036,0.108,0.057
"result.46",0.261175909739897,0.374922615181747,0.069,-0.018,0.108,0.056
"result.47",0.925014252521849,0.347092012864636,-0.155,-0.022,0.108,0.057
"result.48",0.961140262760948,0.769593432569133,-0.191,0.042,0.109,0.057
"result.49",0.542334376242566,0.72822446290938,-0.011,0.035,0.106,0.057
"result.50",0.0263160112404295,0.17956732014949,0.206,-0.052,0.106,0.057
"result.51",0.445409736434418,0.724127516354891,0.015,0.034,0.106,0.057
"result.52",0.0623469562497,0.626849016922004,0.164,0.018,0.106,0.057
"result.53",0.000983681299952676,0.125234662150636,0.334,-0.065,0.108,0.057
"result.54",0.442486227417596,0.554245133402183,0.016,0.008,0.108,0.056
"result.55",0.095396466452035,0.592478054403599,0.142,0.013,0.109,0.056
"result.56",0.0428793076074899,0.244474362507674,0.185,-0.039,0.108,0.056
"result.57",0.169843296806595,0.46707562557423,0.104,-0.005,0.108,0.056
"result.58",0.725136098972489,0.469641538665432,-0.064,-0.004,0.107,0.056
"result.59",0.451788276995818,0.165473354696117,0.013,-0.055,0.106,0.057
"result.60",0.235682658588855,0.817168662845315,0.077,0.051,0.106,0.056
"result.61",0.358183318627853,0.701606201114669,0.039,0.03,0.106,0.057
"result.62",0.692682056921709,0.105160308301672,-0.054,-0.071,0.108,0.057
"result.63",0.314379727524864,0.90203090999952,0.052,0.074,0.108,0.057
"result.64",0.714244985191129,0.891638966676534,-0.06,0.07,0.106,0.056
"result.65",0.788248791317008,0.647103363275212,-0.086,0.021,0.107,0.057
"result.66",0.374734829390532,0.802181830466556,0.034,0.048,0.107,0.057
"result.67",0.429804134373396,0.628988499018685,0.02,0.019,0.109,0.056
"result.68",0.850805465728539,0.522291816777791,-0.112,0.003,0.108,0.056
"result.69",0.897357086861983,0.204386810416974,-0.136,-0.047,0.107,0.057
"result.70",0.705095709236349,0.708607739450824,-0.057,0.031,0.107,0.057
"result.71",0.270574587951382,0.219234651515733,0.066,-0.044,0.108,0.057
"result.72",0.7804082200753,0.253060646175844,-0.082,-0.038,0.106,0.057
"result.73",0.511065719459354,0.894755911238831,-0.003,0.071,0.107,0.057
"result.74",0.333048856599839,0.76430131416235,0.046,0.041,0.107,0.056
"result.75",0.350414507104367,0.377282468730614,0.042,-0.018,0.108,0.057
"result.76",0.578723732026208,0.132835424928699,-0.021,-0.063,0.106,0.057
"result.77",0.98688324218673,0.974310096225246,-0.236,0.11,0.107,0.056
"result.78",0.18091931165582,0.122738518128968,0.099,-0.066,0.108,0.057
"result.79",0.354235103969517,0.37818684553097,0.041,-0.017,0.109,0.056
"result.80",0.702159544731747,0.675940418048894,-0.056,0.026,0.107,0.056
"result.81",0.568930614995659,0.216793430425708,-0.018,-0.044,0.107,0.057
"result.82",0.518230402767415,0.652422472202715,-0.005,0.022,0.107,0.057
"result.83",0.535962931967104,0.445996249629623,-0.009,-0.008,0.108,0.057
"result.84",0.213871130996888,0.251900563793793,0.085,-0.038,0.107,0.056
"result.85",0.921965073389298,0.947803294302669,-0.151,0.092,0.107,0.056
"result.86",0.33540472531795,0.414062347857228,0.047,-0.012,0.109,0.057
"result.87",0.177636231790636,0.377473154855519,0.1,-0.018,0.108,0.056
"result.88",0.370678460157615,0.772276374128827,0.036,0.042,0.107,0.057
"result.89",0.382864374589885,0.599489096052183,0.032,0.014,0.107,0.057
"result.90",0.869386845539681,0.349198463171722,-0.119,-0.022,0.106,0.056
"result.91",0.656953844257834,0.69644286008322,-0.044,0.029,0.108,0.057
"result.92",0.760796105117271,0.896686895593215,-0.076,0.072,0.107,0.057
"result.93",0.324950774999071,0.670642891803407,0.049,0.025,0.107,0.056
"result.94",0.575317621343368,0.126832420628983,-0.02,-0.064,0.106,0.057
"result.95",0.327370706934551,0.624072072551027,0.048,0.018,0.107,0.057
"result.96",0.0810042229085686,0.161666117600343,0.151,-0.056,0.108,0.057
"result.97",0.19951699660315,0.445649854466347,0.092,-0.008,0.109,0.057
"result.98",0.0791825430030715,0.349699537002755,0.152,-0.022,0.107,0.057
