"","post_prob_death_BM","post_prob_extubation_surv","trt_death_BM","trt_extubation_surv","sd_death_BM","sd_extubation_surv"
"result.1",0.0124035942289958,0.0344729419633832,0.237,-0.105,0.106,0.058
"result.2",0.00443929139510487,0.00176785801155055,0.279,-0.167,0.107,0.057
"result.3",0.00454211170414351,0.353701270477248,0.277,-0.021,0.106,0.057
"result.4",0.000706988998847788,0.00122463710157728,0.338,-0.174,0.106,0.058
"result.5",0.00354687079057733,0.0114426208046429,0.286,-0.129,0.106,0.057
"result.6",0.0246305986161293,0.17594163151006,0.209,-0.053,0.106,0.057
"result.7",0.16072009068361,0.022927573185906,0.105,-0.114,0.105,0.057
"result.8",0.0148555120191287,0.505276550654763,0.228,0.001,0.105,0.057
"result.9",0.0150182191803238,0.0431344074882497,0.23,-0.099,0.106,0.058
"result.10",0.000951011706526751,0.0862277429040849,0.33,-0.078,0.107,0.057
"result.11",0.121289823073093,0.00415405397010005,0.125,-0.151,0.107,0.057
"result.12",0.312664150221456,0.0422798909514535,0.051,-0.099,0.105,0.057
"result.13",0.000208061651351834,0.0439700467914378,0.375,-0.097,0.107,0.057
"result.14",0.00341116029497086,0.000217705207922525,0.286,-0.2,0.106,0.057
"result.15",0.214055436102012,0.196997464688864,0.084,-0.048,0.106,0.057
"result.16",0.570814817911121,0.0909018676482779,-0.019,-0.076,0.105,0.057
"result.17",0.00536257923439335,0.025120634355395,0.27,-0.112,0.106,0.058
"result.18",0.000422134977926879,0.0723927124148022,0.355,-0.083,0.107,0.057
"result.19",0.57934074571478,0.0122711701074421,-0.021,-0.129,0.105,0.057
"result.20",0.000256795705204341,0.00507624889855207,0.37,-0.147,0.107,0.057
"result.21",0.21069036849666,0.425972676463875,0.085,-0.011,0.105,0.058
"result.22",0.0179662783300726,0.00591237341262862,0.224,-0.144,0.107,0.057
"result.23",0.0145026644726585,0.00791364523611282,0.23,-0.139,0.105,0.058
"result.24",0.0778759245123738,0.0958199120139628,0.151,-0.074,0.106,0.057
"result.25",0.00344768549588589,0.241527217353629,0.286,-0.04,0.106,0.057
"result.26",0.00771632338082963,0.228420425323403,0.258,-0.042,0.107,0.057
"result.27",0.0165643817925982,0.0425958164447886,0.228,-0.098,0.107,0.057
"result.28",0.000850804844783231,0.00737654437504687,0.34,-0.139,0.109,0.057
"result.29",0.0130153114931582,0.125924092626498,0.235,-0.065,0.106,0.057
"result.30",0.0270810490328837,0.0580690428416181,0.204,-0.089,0.106,0.057
"result.31",0.0230995478531307,0.0494284745740318,0.212,-0.094,0.106,0.057
"result.32",0.00715072038592723,0.00189646524000642,0.257,-0.166,0.105,0.057
"result.33",0.0571742054846889,0.0211506560806874,0.167,-0.116,0.105,0.057
"result.34",0.0492182670527638,0.199156591543907,0.174,-0.048,0.105,0.057
"result.35",0.127981471889208,0.137356092212886,0.12,-0.062,0.105,0.057
"result.36",4.51915108487544e-06,0.130688869935385,0.45,-0.064,0.108,0.057
"result.37",0.186038377022362,0.161291015365145,0.095,-0.056,0.106,0.057
"result.38",0.000898044399527851,0.073553998769804,0.328,-0.084,0.105,0.058
"result.39",0.0506375979700737,0.0240690028307272,0.174,-0.113,0.106,0.057
"result.40",0.23072665186921,0.0285264634891738,0.078,-0.109,0.106,0.057
"result.41",0.162535177709421,0.113041597235713,0.105,-0.069,0.107,0.057
"result.42",0.00472438576819028,0.00321659854444789,0.274,-0.155,0.106,0.057
"result.43",1.85833718184065e-07,0.0381530077359864,0.459,-0.102,0.105,0.058
"result.44",0.0124432590856014,0.0019400117291245,0.236,-0.166,0.105,0.058
"result.45",0.0265083814995512,0.11601129781382,0.205,-0.069,0.106,0.058
"result.46",0.00553440006149473,0.0283490946684753,0.27,-0.108,0.106,0.057
"result.47",0.120520515817612,0.0175113962944168,0.124,-0.121,0.106,0.058
"result.48",0.424274225840237,0.164207686038722,0.021,-0.056,0.107,0.057
"result.49",0.0124702406196429,0.202483443701941,0.235,-0.048,0.105,0.057
"result.50",5.90254649548749e-05,0.00277253368523445,0.402,-0.159,0.106,0.058
"result.51",0.0711211533057537,0.105553328012364,0.154,-0.071,0.105,0.057
"result.52",0.000101591906728106,0.0499070504227932,0.389,-0.094,0.105,0.057
"result.53",1.86291696411721e-07,0.00415111655916178,0.471,-0.15,0.108,0.057
"result.54",0.0332518468949253,0.0316851085433968,0.196,-0.105,0.107,0.057
